Category,Subcategory,French,Allemand,Phrase
Famille,Famille,le père,der Vater,Mein Vater ist Arzt.
Famille,Famille,la mère,die Mutter,Meine Mutter kocht sehr gerne.
Famille,Famille,le fils,der Sohn,Der Sohn spielt Fußball.
Famille,Famille,la fille,die Tochter,Die Tochter spielt Klavier.
Famille,Famille,le frère,der Bruder,Mein Bruder studiert Informatik.
Famille,Famille,la sœur,die Schwester,Meine Schwester arbeitet als Lehrerin.
Famille,Famille,le grand-père,der Großvater,Der Großvater erzählt gerne Geschichten.
Famille,Famille,la grand-mère,die Großmutter,Die Großmutter backt leckere Kuchen.
Famille,Famille,l'oncle,der Onkel,Mein Onkel ist Musiker.
Famille,Famille,la tante,die Tante,Meine Tante reist gerne.
Famille,Famille,le cousin,der Cousin,Der Cousin wohnt in München.
Famille,Famille,la cousine,die Cousine,Meine Cousine malt sehr schön.
Famille,Famille,le beau-père,der Stiefvater,Mein Stiefvater ist sehr nett.
Famille,Famille,la belle-mère,die Stiefmutter,Meine Stiefmutter ist Kunstlehrerin.
Famille,Famille,le beau-fils,der Stiefsohn,Der Stiefsohn spielt Basketball.
Famille,Famille,la belle-fille,die Stieftochter,Die Stieftochter tanzt Ballett.
Nourriture,Viande,la viande,das Fleisch,Ich esse gerne Fleisch.
Nourriture,Viande,le bœuf,das Rindfleisch,Das Rindfleisch ist sehr zart.
Nourriture,Viande,le porc,das Schweinefleisch,Das Schweinefleisch ist beliebt für Braten.
Nourriture,Viande,le poulet,das Hähnchen,Ich bestelle ein Hähnchenbrust.
Nourriture,Viande,le veau,das Kalbfleisch,Das Kalbfleisch ist sehr zart.
Nourriture,Viande,l'agneau,das Lammfleisch,Das Lammfleisch ist ideal für einen Sonntagsbraten.
Nourriture,Viande,le saucisson,die Wurst,Die Wurst ist eine beliebte Brotbelag.
Nourriture,Viande,le jambon,der Schinken,Der Schinken schmeckt gut in einem Sandwich.
Nourriture,Viande,le steak,das Steak,Ich mag mein Steak blutig.
Nourriture,Viande,la saucisse,die Bratwurst,Die Bratwurst wird oft beim Grillen gegessen.
Nourriture,Légumes,la carotte,die Karotte,Ich esse gerne Karotten.
Nourriture,Légumes,le chou,der Kohl,Der Kohl ist gesund.
Nourriture,Légumes,la tomate,die Tomate,Die Tomate ist rot.
Nourriture,Légumes,le concombre,die Gurke,Die Gurke ist erfrischend.
Nourriture,Légumes,l'oignon,die Zwiebel,Die Zwiebel macht das Essen scharf.
Nourriture,Légumes,la pomme de terre,die Kartoffel,Die Kartoffel ist ein Grundnahrungsmittel.
Nourriture,Légumes,le poivron,die Paprika,Die Paprika gibt es in vielen Farben.
Nourriture,Légumes,le brocoli,der Brokkoli,Brokkoli ist gesund für Kinder.
Nourriture,Légumes,la laitue,der Salat,Ich esse gerne Salat.
Nourriture,Légumes,la courgette,die Zucchini,Die Zucchini ist lecker im Ofen.
Nourriture,Fruits,la pomme,der Apfel,Ich esse gerne einen Apfel zum Frühstück.
Nourriture,Fruits,la poire,die Birne,Die Birne ist süß.
Nourriture,Fruits,la banane,die Banane,Die Banane ist gesund.
Nourriture,Fruits,l'orange,die Orange,Ich trinke gerne Orangensaft.
Nourriture,Fruits,le citron,die Zitrone,Die Zitrone ist sauer.
Nourriture,Fruits,la fraise,die Erdbeere,Die Erdbeeren sind im Sommer reif.
Nourriture,Fruits,la cerise,die Kirsche,Die Kirschen sind rot.
Nourriture,Fruits,le raisin,die Traube,Ich mag Trauben sehr gerne.
Nourriture,Fruits,la pêche,der Pfirsich,Der Pfirsich ist weich.
Nourriture,Fruits,la mangue,die Mango,Die Mango kommt aus warmen Ländern.
Nourriture,Condiments,le sel,das Salz,Ich gebe immer etwas Salz auf mein Essen.
Nourriture,Condiments,le poivre,der Pfeffer,Der Pfeffer macht das Essen scharf.
Nourriture,Condiments,le vinaigre,der Essig,Der Essig wird für Salate verwendet.
Nourriture,Condiments,l'huile,das Öl,Das Öl ist gesund.
Nourriture,Condiments,la moutarde,der Senf,Ich mag Senf auf meinen Würstchen.
Nourriture,Condiments,le ketchup,der Ketchup,Der Ketchup ist beliebt bei Kindern.
Nourriture,Condiments,la mayonnaise,die Mayonnaise,Die Mayonnaise wird für Sandwiches verwendet.
Nourriture,Condiments,le paprika,das Paprikapulver,Das Paprikapulver gibt dem Essen eine rote Farbe.
Nourriture,Condiments,le curry,das Curry,Das Curry ist eine indische Gewürzmischung.